x,reaction_progress
0.0137,0.9999650373556225
0.01372,0.9999653018017902
0.01374,0.9999655632797163
0.01376,0.9999658218558626
0.01378,0.9999660775951614
0.0138,0.9999663305610488
0.01382,0.9999665808155004
0.01384,0.9999668284190633
0.01386,0.9999670734308886
0.01388,0.9999673159087642
0.0139,0.9999675559091438
0.01392,0.9999677934871793
0.01394,0.9999680286967485
0.01396,0.9999682615904844
0.01398,0.9999684922198044
0.014,0.9999687206349358
0.01402,0.9999689468849444
0.01404,0.9999691710177593
0.01406,0.9999693930801997
0.01408,0.9999696131179988
0.0141,0.999969831175829
0.01412,0.999970047297325
0.01414,0.9999702615251079
0.01416,0.9999704739008076
0.01418,0.999970684465084
0.0142,0.9999708932576509
0.01422,0.9999711003172946
0.01424,0.9999713056818972
0.01426,0.999971509388454
0.01428,0.9999717114730966
0.0143,0.9999719119711088
0.01432,0.9999721109169484
0.01434,0.999972308344263
0.01436,0.9999725042859102
0.01438,0.9999726987739743
0.0144,0.9999728918397829
0.01442,0.9999730835139252
0.01444,0.9999732738262666
0.01446,0.9999734628059663
0.01448,0.9999736504814926
0.0145,0.999973836880637
0.01452,0.9999740220305312
0.01454,0.9999742059576601
0.01456,0.999974388687877
0.01458,0.9999745702464176
0.0146,0.9999747506579121
0.01462,0.9999749299464015
0.01464,0.9999751081353476
0.01466,0.999975285247648
0.01468,0.9999754613056477
0.0147,0.9999756363311503
0.01472,0.9999758103454319
0.01474,0.9999759833692512
0.01476,0.9999761554228613
0.01478,0.9999763265260219
0.0148,0.999976496698008
0.01482,0.9999766659576221
0.01484,0.9999768343232048
0.01486,0.9999770018126436
0.01488,0.9999771684433838
0.0149,0.9999773342324384
0.01492,0.9999774991963966
0.01494,0.9999776633514338
0.01496,0.9999778267133205
0.01498,0.9999779892974313
0.015,0.9999781511187534
0.01502,0.9999783121918948
0.01504,0.9999784725310925
0.01506,0.999978632150222
0.01508,0.9999787910628031
0.0151,0.9999789492820085
0.01512,0.9999791068206719
0.01514,0.999979263691295
0.01516,0.9999794199060542
0.01518,0.9999795754768076
0.0152,0.9999797304151031
0.01522,0.9999798847321842
0.01524,0.999980038438996
0.01526,0.999980191546193
0.01528,0.999980344064144
0.0153,0.9999804960029393
0.01532,0.9999806473723953
0.01534,0.9999807981820628
0.01536,0.9999809484412292
0.01538,0.9999810981589273
0.0154,0.9999812473439391
0.01542,0.9999813960048008
0.01544,0.9999815441498096
0.01546,0.9999816917870267
0.01548,0.9999818389242837
0.0155,0.9999819855691864
0.01552,0.9999821317291211
0.01554,0.9999822774112569
0.01556,0.9999824226225523
0.01558,0.9999825673697582
0.0156,0.9999827116594222
0.01562,0.9999828554978938
0.01564,0.9999829988913268
0.01566,0.999983141845685
0.01568,0.999983284366745
0.0157,0.9999834264600997
0.01572,0.9999835681311625
0.01574,0.9999837093851714
0.01576,0.9999838502271902
0.01578,0.9999839906621149
0.0158,0.9999841306946745
0.01582,0.9999842703294352
0.01584,0.9999844095708037
0.01586,0.9999845484230298
0.01588,0.999984686890209
0.0159,0.9999848249762866
0.01592,0.9999849626850582
0.01594,0.999985100020175
0.01596,0.9999852369851443
0.01598,0.9999853735833331
0.016,0.9999855098179705
0.01602,0.9999856456921485
0.01604,0.9999857812088275
0.01606,0.9999859163708351
0.01608,0.9999860511808704
0.0161,0.9999861856415044
0.01612,0.999986319755184
0.01614,0.9999864535242317
0.01616,0.9999865869508495
0.01618,0.9999867200371193
0.0162,0.9999868527850049
0.01622,0.9999869851963534
0.01624,0.999987117272898
0.01626,0.9999872490162574
0.01628,0.9999873804279394
0.0163,0.9999875115093407
0.01632,0.9999876422617486
0.01634,0.9999877726863426
0.01636,0.9999879027841956
0.01638,0.999988032556274
0.0164,0.9999881620034399
0.01642,0.9999882911264514
0.01644,0.999988419925964
0.01646,0.9999885484025306
0.01648,0.9999886765566043
0.0165,0.9999888043885348
0.01652,0.9999889318985745
0.01654,0.9999890590868752
0.01656,0.99998918595349
0.01658,0.9999893124983739
0.0166,0.9999894387213838
0.01662,0.9999895646222785
0.01664,0.9999896902007196
0.01666,0.9999898154562721
0.01668,0.9999899403884029
0.0167,0.9999900649964821
0.01672,0.9999901892797834
0.01674,0.9999903132374823
0.01676,0.999990436868658
0.01678,0.9999905601722912
0.0168,0.9999906831472659
0.01682,0.9999908057923669
0.01684,0.9999909281062812
0.01686,0.9999910500875964
0.01688,0.9999911717348
0.0169,0.9999912930462802
0.01692,0.9999914140203235
0.01694,0.9999915346551137
0.01696,0.9999916549487341
0.01698,0.9999917748991622
0.017,0.9999918945042717
0.01702,0.99999201376183
0.01704,0.9999921326694976
0.01706,0.9999922512248263
0.01708,0.9999923694252587
0.0171,0.9999924872681252
0.01712,0.9999926047506436
0.01714,0.9999927218699168
0.01716,0.9999928386229321
0.01718,0.9999929550065575
0.0172,0.999993071017541
0.01722,0.9999931866525078
0.01724,0.9999933019079587
0.01726,0.9999934167802677
0.01728,0.9999935312656785
0.0173,0.9999936453603031
0.01732,0.9999937590601187
0.01734,0.999993872360964
0.01736,0.9999939852585383
0.01738,0.9999940977483956
0.0174,0.9999942098259434
0.01742,0.9999943214864387
0.01744,0.9999944327249831
0.01746,0.9999945435365225
0.01748,0.9999946539158381
0.0175,0.9999947638575467
0.01752,0.9999948733560945
0.01754,0.999994982405752
0.01756,0.9999950910006112
0.01758,0.9999951991345789
0.0176,0.9999953068013728
0.01762,0.9999954139945155
0.01764,0.9999955207073288
0.01766,0.999995626932929
0.01768,0.9999957326642194
0.0177,0.9999958378938855
0.01772,0.9999959426143873
0.01774,0.9999960468179526
0.01776,0.9999961504965708
0.01778,0.9999962536419846
0.0178,0.9999963562456825
0.01782,0.9999964582988911
0.01784,0.999996559792566
0.01786,0.9999966607173847
